id,province,city,area,street,community,code_num,create_time,edit_time,expire_date,change_type
216,河北省,邯郸市,魏县,,,130434000000,12/21/2017 11:19:28,12/21/2017 14:50:41,,
217,吉林省,通化市,梅河口市,,,220581000000,12/21/2017 11:19:28,12/21/2017 14:50:41,,
218,河北省,秦皇岛市,卢龙县,,,130324000000,12/21/2017 11:19:28,12/21/2017 14:50:41,,
219,广东省,佛山市,,,,440600000000,12/21/2017 11:19:28,12/21/2017 14:50:41,,
220,甘肃省,临夏回族自治州,积石山保安族东乡族撒拉族自治县,,,622927000000,12/21/2017 11:19:28,12/21/2017 14:50:41,,
221,湖南省,永州市,江华瑶族自治县,,,431129000000,12/21/2017 11:19:28,12/21/2017 14:50:41,,
222,贵州省,遵义市,赤水市,,,520381000000,12/21/2017 11:19:28,12/21/2017 14:50:41,,
223,江苏省,常州市,新北区,,,320411000000,12/21/2017 11:19:28,12/21/2017 14:50:41,,
224,湖南省,长沙市,,,,430100000000,12/21/2017 11:19:28,12/21/2017 14:50:41,,
225,广西壮族自治区,河池市,金城江区,,,451202000000,12/21/2017 11:19:28,12/21/2017 14:50:41,,
226,甘肃省,定西市,漳县,,,621125000000,12/21/2017 11:19:28,12/21/2017 14:50:41,,
227,江西省,赣州市,全南县,,,360729000000,12/21/2017 11:19:28,12/21/2017 14:50:41,,
228,湖北省,宜昌市,秭归县,,,420527000000,12/21/2017 11:19:28,12/21/2017 14:50:41,,
229,江苏省,扬州市,宝应县,,,321023000000,12/21/2017 11:19:28,12/21/2017 14:50:41,,
230,山西省,运城市,,,,140800000000,12/21/2017 11:19:28,12/21/2017 14:50:41,,
231,青海省,海南藏族自治州,,,,632500000000,12/21/2017 11:19:28,12/21/2017 14:50:41,,
232,陕西省,咸阳市,永寿县,,,610426000000,12/21/2017 11:19:28,12/21/2017 14:50:41,,
233,广西壮族自治区,崇左市,宁明县,,,451422000000,12/21/2017 11:19:28,12/21/2017 14:50:41,,
234,湖南省,长沙市,宁乡县,,,430124000000,12/21/2017 11:19:28,12/21/2017 14:50:41,,
235,广东省,清远市,英德市,,,441881000000,12/21/2017 11:19:28,12/21/2017 14:50:41,,
236,黑龙江省,齐齐哈尔市,,,,230200000000,12/21/2017 11:19:28,12/21/2017 14:50:41,,
237,河南省,洛阳市,吉利区,,,410306000000,12/21/2017 11:19:28,12/21/2017 14:50:41,,
238,四川省,凉山彝族自治州,雷波县,,,513437000000,12/21/2017 11:19:28,12/21/2017 14:50:41,,
239,河北省,张家口市,怀安县,,,130728000000,12/21/2017 11:19:28,12/21/2017 14:50:41,,
240,云南省,昭通市,彝良县,,,530628000000,12/21/2017 11:19:28,12/21/2017 14:50:41,,
241,新疆维吾尔自治区,阿克苏地区,阿瓦提县,,,652928000000,12/21/2017 11:19:28,12/21/2017 14:50:41,,
242,内蒙古自治区,赤峰市,红山区,,,150402000000,12/21/2017 11:19:28,12/21/2017 14:50:41,,
243,山西省,晋城市,沁水县,,,140521000000,12/21/2017 11:19:28,12/21/2017 14:50:41,,
244,江苏省,淮安市,,,,320800000000,12/21/2017 11:19:28,12/21/2017 14:50:41,,
245,广东省,云浮市,,,,445300000000,12/21/2017 11:19:28,12/21/2017 14:50:41,,
246,贵州省,遵义市,习水县,,,520330000000,12/21/2017 11:19:28,12/21/2017 14:50:41,,
247,云南省,楚雄彝族自治州,双柏县,,,532322000000,12/21/2017 11:19:28,12/21/2017 14:50:41,,
248,河南省,安阳市,滑县,,,410526000000,12/21/2017 11:19:28,12/21/2017 14:50:41,,
249,河南省,周口市,鹿邑县,,,411628000000,12/21/2017 11:19:28,12/21/2017 14:50:41,,
250,江西省,宜春市,丰城市,,,360981000000,12/21/2017 11:19:28,12/21/2017 14:50:41,,
251,新疆维吾尔自治区,阿勒泰地区,哈巴河县,,,654324000000,12/21/2017 11:19:28,12/21/2017 14:50:41,,
252,山东省,泰安市,新泰市,,,370982000000,12/21/2017 11:19:28,12/21/2017 14:50:41,,
253,云南省,临沧市,临翔区,,,530902000000,12/21/2017 11:19:28,12/21/2017 14:50:41,,
254,山东省,日照市,东港区,,,371102000000,12/21/2017 11:19:28,12/21/2017 14:50:41,,
255,湖南省,永州市,道县,,,431124000000,12/21/2017 11:19:28,12/21/2017 14:50:41,,
256,陕西省,安康市,岚皋县,,,610925000000,12/21/2017 11:19:28,12/21/2017 14:50:41,,
257,陕西省,汉中市,留坝县,,,610729000000,12/21/2017 11:19:28,12/21/2017 14:50:41,,
258,四川省,凉山彝族自治州,木里藏族自治县,,,513422000000,12/21/2017 11:19:28,12/21/2017 14:50:41,,
259,云南省,昭通市,盐津县,,,530623000000,12/21/2017 11:19:28,12/21/2017 14:50:41,,
260,黑龙江省,齐齐哈尔市,昂昂溪区,,,230205000000,12/21/2017 11:19:28,12/21/2017 14:50:41,,
261,山东省,烟台市,,,,370600000000,12/21/2017 11:19:28,12/21/2017 14:50:41,,
262,甘肃省,天水市,秦安县,,,620522000000,12/21/2017 11:19:28,12/21/2017 14:50:41,,
263,河北省,石家庄市,桥西区,,,130104000000,12/21/2017 11:19:28,12/21/2017 14:50:41,,
264,广西壮族自治区,南宁市,马山县,,,450124000000,12/21/2017 11:19:28,12/21/2017 14:50:41,,
265,福建省,泉州市,金门县,,,350527000000,12/21/2017 11:19:28,12/21/2017 14:50:41,,
