,province,city,code_num,code_province,code_city,code_area
6,河北省,唐山市,130200000000,130000000000,130200000000,130200000000
9,山西省,吕梁市,141100000000,140000000000,141100000000,141100000000
19,陕西省,商洛市,611000000000,610000000000,611000000000,611000000000
28,山东省,聊城市,371500000000,370000000000,371500000000,371500000000
30,黑龙江省,黑河市,231100000000,230000000000,231100000000,231100000000
31,湖南省,郴州市,431000000000,430000000000,431000000000,431000000000
36,湖北省,武汉市,420100000000,420000000000,420100000000,420100000000
45,吉林省,白城市,220800000000,220000000000,220800000000,220800000000
51,江西省,鹰潭市,360600000000,360000000000,360600000000,360600000000
71,四川省,绵阳市,510700000000,510000000000,510700000000,510700000000
79,吉林省,吉林市,220200000000,220000000000,220200000000,220200000000
81,河南省,驻马店市,411700000000,410000000000,411700000000,411700000000
95,广西壮族自治区,防城港市,450600000000,450000000000,450600000000,450600000000
96,四川省,成都市,510100000000,510000000000,510100000000,510100000000
103,河北省,承德市,130800000000,130000000000,130800000000,130800000000
115,浙江省,金华市,330700000000,330000000000,330700000000,330700000000
133,辽宁省,铁岭市,211200000000,210000000000,211200000000,211200000000
140,河南省,漯河市,411100000000,410000000000,411100000000,411100000000
149,安徽省,铜陵市,340700000000,340000000000,340700000000,340700000000
162,甘肃省,武威市,620600000000,620000000000,620600000000,620600000000
164,安徽省,合肥市,340100000000,340000000000,340100000000,340100000000
174,浙江省,杭州市,330100000000,330000000000,330100000000,330100000000
178,陕西省,汉中市,610700000000,610000000000,610700000000,610700000000
200,福建省,漳州市,350600000000,350000000000,350600000000,350600000000
211,辽宁省,大连市,210200000000,210000000000,210200000000,210200000000
225,广东省,佛山市,440600000000,440000000000,440600000000,440600000000
230,湖南省,长沙市,430100000000,430000000000,430100000000,430100000000
236,山西省,运城市,140800000000,140000000000,140800000000,140800000000
237,青海省,海南藏族自治州,632500000000,630000000000,632500000000,632500000000
242,黑龙江省,齐齐哈尔市,230200000000,230000000000,230200000000,230200000000
250,江苏省,淮安市,320800000000,320000000000,320800000000,320800000000
251,广东省,云浮市,445300000000,440000000000,445300000000,445300000000
267,山东省,烟台市,370600000000,370000000000,370600000000,370600000000
276,四川省,内江市,511000000000,510000000000,511000000000,511000000000
292,河南省,焦作市,410800000000,410000000000,410800000000,410800000000
308,辽宁省,阜新市,210900000000,210000000000,210900000000,210900000000
312,内蒙古自治区,呼和浩特市,150100000000,150000000000,150100000000,150100000000
313,安徽省,亳州市,341600000000,340000000000,341600000000,341600000000
324,山西省,太原市,140100000000,140000000000,140100000000,140100000000
341,江苏省,镇江市,321100000000,320000000000,321100000000,321100000000
354,浙江省,丽水市,331100000000,330000000000,331100000000,331100000000
372,贵州省,黔东南苗族侗族自治州,522600000000,520000000000,522600000000,522600000000
378,云南省,丽江市,530700000000,530000000000,530700000000,530700000000
384,河南省,郑州市,410100000000,410000000000,410100000000,410100000000
398,广西壮族自治区,百色市,451000000000,450000000000,451000000000,451000000000
400,福建省,福州市,350100000000,350000000000,350100000000,350100000000
414,甘肃省,张掖市,620700000000,620000000000,620700000000,620700000000
440,山西省,晋中市,140700000000,140000000000,140700000000,140700000000
457,贵州省,铜仁市,520600000000,520000000000,520600000000,520600000000
459,福建省,南平市,350700000000,350000000000,350700000000,350700000000
467,安徽省,池州市,341700000000,340000000000,341700000000,341700000000
472,广东省,广州市,440100000000,440000000000,440100000000,440100000000
480,四川省,乐山市,511100000000,510000000000,511100000000,511100000000
481,河南省,周口市,411600000000,410000000000,411600000000,411600000000
500,黑龙江省,哈尔滨市,230100000000,230000000000,230100000000,230100000000
504,江西省,新余市,360500000000,360000000000,360500000000,360500000000
505,河北省,沧州市,130900000000,130000000000,130900000000,130900000000
524,新疆维吾尔自治区,塔城地区,654200000000,650000000000,654200000000,654200000000
538,浙江省,宁波市,330200000000,330000000000,330200000000,330200000000
548,四川省,达州市,511700000000,510000000000,511700000000,511700000000
553,云南省,迪庆藏族自治州,533400000000,530000000000,533400000000,533400000000
555,河南省,许昌市,411000000000,410000000000,411000000000,411000000000
560,广西壮族自治区,钦州市,450700000000,450000000000,450700000000,450700000000
568,甘肃省,兰州市,620100000000,620000000000,620100000000,620100000000
580,山西省,临汾市,141000000000,140000000000,141000000000,141000000000
596,贵州省,贵阳市,520100000000,520000000000,520100000000,520100000000
604,新疆维吾尔自治区,阿勒泰地区,654300000000,650000000000,654300000000,654300000000
