,province,area,code_num,code_province,code_city,code_area
26,重庆市,城口县,500229000000,500000000000,500200000000,500229000000
34,海南省,文昌市,469005000000,460000000000,469000000000,469005000000
72,重庆市,铜梁县,500224000000,500000000000,500200000000,500224000000
75,重庆市,黔江区,500114000000,500000000000,500100000000,500114000000
85,天津市,南开区,120104000000,120000000000,120100000000,120104000000
111,北京市,密云县,110228000000,110000000000,110200000000,110228000000
120,天津市,静海县,120223000000,120000000000,120200000000,120223000000
152,北京市,顺义区,110113000000,110000000000,110100000000,110113000000
163,天津市,北辰区,120113000000,120000000000,120100000000,120113000000
213,重庆市,江北区,500105000000,500000000000,500100000000,500105000000
284,新疆维吾尔自治区,北屯市,659005000000,650000000000,659000000000,659005000000
305,重庆市,忠县,500233000000,500000000000,500200000000,500233000000
311,上海市,宝山区,310113000000,310000000000,310100000000,310113000000
314,重庆市,巫溪县,500238000000,500000000000,500200000000,500238000000
324,上海市,嘉定区,310114000000,310000000000,310100000000,310114000000
427,重庆市,北碚区,500109000000,500000000000,500100000000,500109000000
470,新疆维吾尔自治区,铁门关市,659006000000,650000000000,659000000000,659006000000
546,湖北省,仙桃市,429004000000,420000000000,429000000000,429004000000
564,新疆维吾尔自治区,石河子市,659001000000,650000000000,659000000000,659001000000
570,重庆市,大渡口区,500104000000,500000000000,500100000000,500104000000
571,天津市,武清区,120114000000,120000000000,120100000000,120114000000
594,上海市,虹口区,310109000000,310000000000,310100000000,310109000000
600,重庆市,潼南县,500223000000,500000000000,500200000000,500223000000
619,上海市,徐汇区,310104000000,310000000000,310100000000,310104000000
626,重庆市,梁平县,500228000000,500000000000,500200000000,500228000000
693,海南省,五指山市,469001000000,460000000000,469000000000,469001000000
722,海南省,万宁市,469006000000,460000000000,469000000000,469006000000
746,上海市,长宁区,310105000000,310000000000,310100000000,310105000000
860,北京市,延庆县,110229000000,110000000000,110200000000,110229000000
900,海南省,屯昌县,469022000000,460000000000,469000000000,469022000000
914,重庆市,万州区,500101000000,500000000000,500100000000,500101000000
918,天津市,津南区,120112000000,120000000000,120100000000,120112000000
952,重庆市,綦江区,500110000000,500000000000,500100000000,500110000000
1005,上海市,浦东新区,310115000000,310000000000,310100000000,310115000000
1032,上海市,松江区,310117000000,310000000000,310100000000,310117000000
1043,北京市,西城区,110102000000,110000000000,110100000000,110102000000
1110,重庆市,巫山县,500237000000,500000000000,500200000000,500237000000
1165,重庆市,渝北区,500112000000,500000000000,500100000000,500112000000
1188,海南省,临高县,469024000000,460000000000,469000000000,469024000000
1277,北京市,平谷区,110117000000,110000000000,110100000000,110117000000
1284,北京市,房山区,110111000000,110000000000,110100000000,110111000000
1330,海南省,陵水黎族自治县,469028000000,460000000000,469000000000,469028000000
1365,天津市,蓟县,120225000000,120000000000,120200000000,120225000000
1369,北京市,海淀区,110108000000,110000000000,110100000000,110108000000
1402,重庆市,永川区,500118000000,500000000000,500100000000,500118000000
1406,河南省,济源市,419001000000,410000000000,419000000000,419001000000
1420,重庆市,江津区,500116000000,500000000000,500100000000,500116000000
1425,天津市,宁河县,120221000000,120000000000,120200000000,120221000000
1472,重庆市,石柱土家族自治县,500240000000,500000000000,500200000000,500240000000
1500,上海市,奉贤区,310120000000,310000000000,310100000000,310120000000
1569,重庆市,酉阳土家族苗族自治县,500242000000,500000000000,500200000000,500242000000
1584,上海市,金山区,310116000000,310000000000,310100000000,310116000000
1662,北京市,东城区,110101000000,110000000000,110100000000,110101000000
1675,重庆市,涪陵区,500102000000,500000000000,500100000000,500102000000
1687,海南省,定安县,469021000000,460000000000,469000000000,469021000000
1717,新疆维吾尔自治区,图木舒克市,659003000000,650000000000,659000000000,659003000000
1730,重庆市,九龙坡区,500107000000,500000000000,500100000000,500107000000
1743,海南省,琼中黎族苗族自治县,469030000000,460000000000,469000000000,469030000000
1757,北京市,丰台区,110106000000,110000000000,110100000000,110106000000
1760,湖北省,天门市,429006000000,420000000000,429000000000,429006000000
1787,海南省,昌江黎族自治县,469026000000,460000000000,469000000000,469026000000
1818,北京市,大兴区,110115000000,110000000000,110100000000,110115000000
1822,天津市,和平区,120101000000,120000000000,120100000000,120101000000
1866,天津市,红桥区,120106000000,120000000000,120100000000,120106000000
1887,重庆市,垫江县,500231000000,500000000000,500200000000,500231000000
1987,重庆市,奉节县,500236000000,500000000000,500200000000,500236000000
2011,重庆市,丰都县,500230000000,500000000000,500200000000,500230000000
2035,天津市,河东区,120102000000,120000000000,120100000000,120102000000
2037,重庆市,云阳县,500235000000,500000000000,500200000000,500235000000
2053,重庆市,璧山县,500227000000,500000000000,500200000000,500227000000
2075,天津市,东丽区,120110000000,120000000000,120100000000,120110000000
2090,上海市,黄浦区,310101000000,310000000000,310100000000,310101000000
2119,重庆市,南岸区,500108000000,500000000000,500100000000,500108000000
2137,新疆维吾尔自治区,阿拉尔市,659002000000,650000000000,659000000000,659002000000
2140,天津市,西青区,120111000000,120000000000,120100000000,120111000000
2163,天津市,滨海新区,120116000000,120000000000,120100000000,120116000000
2195,重庆市,渝中区,500103000000,500000000000,500100000000,500103000000
2203,天津市,宝坻区,120115000000,120000000000,120100000000,120115000000
2295,重庆市,荣昌县,500226000000,500000000000,500200000000,500226000000
2316,上海市,静安区,310106000000,310000000000,310100000000,310106000000
2326,海南省,东方市,469007000000,460000000000,469000000000,469007000000
2358,上海市,崇明县,310230000000,310000000000,310200000000,310230000000
2366,上海市,闸北区,310108000000,310000000000,310100000000,310108000000
2379,海南省,琼海市,469002000000,460000000000,469000000000,469002000000
2386,海南省,儋州市,469003000000,460000000000,469000000000,469003000000
2395,上海市,普陀区,310107000000,310000000000,310100000000,310107000000
2412,北京市,昌平区,110114000000,110000000000,110100000000,110114000000
2475,新疆维吾尔自治区,五家渠市,659004000000,650000000000,659000000000,659004000000
2477,重庆市,武隆县,500232000000,500000000000,500200000000,500232000000
2492,重庆市,长寿区,500115000000,500000000000,500100000000,500115000000
2509,海南省,乐东黎族自治县,469027000000,460000000000,469000000000,469027000000
2535,湖北省,潜江市,429005000000,420000000000,429000000000,429005000000
2538,天津市,河北区,120105000000,120000000000,120100000000,120105000000
2545,北京市,朝阳区,110105000000,110000000000,110100000000,110105000000
2576,重庆市,沙坪坝区,500106000000,500000000000,500100000000,500106000000
2626,北京市,石景山区,110107000000,110000000000,110100000000,110107000000
2646,上海市,杨浦区,310110000000,310000000000,310100000000,310110000000
2680,湖北省,神农架林区,429021000000,420000000000,429000000000,429021000000
2710,天津市,河西区,120103000000,120000000000,120100000000,120103000000
2766,重庆市,开县,500234000000,500000000000,500200000000,500234000000
2816,上海市,闵行区,310112000000,310000000000,310100000000,310112000000
2827,重庆市,彭水苗族土家族自治县,500243000000,500000000000,500200000000,500243000000
2837,重庆市,合川区,500117000000,500000000000,500100000000,500117000000
2846,海南省,保亭黎族苗族自治县,469029000000,460000000000,469000000000,469029000000
2903,上海市,青浦区,310118000000,310000000000,310100000000,310118000000
2957,北京市,怀柔区,110116000000,110000000000,110100000000,110116000000
2974,重庆市,大足区,500111000000,500000000000,500100000000,500111000000
2977,北京市,门头沟区,110109000000,110000000000,110100000000,110109000000
3000,海南省,白沙黎族自治县,469025000000,460000000000,469000000000,469025000000
3001,北京市,通州区,110112000000,110000000000,110100000000,110112000000
3047,重庆市,巴南区,500113000000,500000000000,500100000000,500113000000
3052,海南省,澄迈县,469023000000,460000000000,469000000000,469023000000
3160,重庆市,南川区,500119000000,500000000000,500100000000,500119000000
3179,重庆市,秀山土家族苗族自治县,500241000000,500000000000,500200000000,500241000000
